Account Number,Person's Name,Last Contact Date,Last Paid Date,Last Payment Extension,Cure Sent/Needed,Was Accel Sent (If Needed),"Credit Reporting Past Due 31, 61, 91",Last Assigned for Repossession,Previous Repo/Reinstatement Date,Reason for Being Past Due,Extension Eligible
ACCT332774,Customer 234,2023-08-12,2021-04-16,2023-05-21,No,,31 days,,2023-07-18,Late paycheck,Yes
ACCT638917,Customer 235,2022-02-16,,2024-06-20,No,,None,2021-09-29,2023-12-28,Job loss,Yes
ACCT731286,Customer 236,2020-08-19,2023-03-20,2022-12-04,No,,None,2023-07-08,,Overspending,No
ACCT265865,Customer 237,2020-10-15,2024-03-27,2021-05-11,Yes,Yes,91+ days,2021-11-22,2022-01-08,Unexpected expenses,No
ACCT326855,Customer 238,2023-12-06,2023-02-13,2023-04-21,No,,31 days,2023-09-12,2024-12-20,Bank error,Yes
ACCT519981,Customer 239,2023-04-18,2020-09-16,2023-07-13,No,,None,2020-09-19,2020-07-26,Overspending,Yes
ACCT321085,Customer 240,2020-12-09,2020-07-21,2022-12-14,Yes,Yes,61 days,2021-10-18,2020-05-29,Bank error,No
ACCT498587,Customer 241,,2023-05-14,2020-03-11,Yes,No,91+ days,,2023-01-25,Overspending,No
ACCT583226,Customer 242,,2021-11-06,2023-07-12,Yes,Yes,61 days,2023-05-06,2021-06-05,Late paycheck,No
ACCT633906,Customer 243,,2024-10-06,2022-07-02,No,,None,2020-05-15,2024-04-14,Job loss,No
ACCT576671,Customer 244,2023-10-08,2024-12-29,,Yes,Yes,31 days,2021-05-27,2023-04-29,Job loss,Yes
ACCT245012,Customer 245,2022-10-13,,,Yes,No,None,2023-01-22,2024-07-19,Job loss,Yes
ACCT856072,Customer 246,2024-05-27,2020-01-20,2024-07-13,Yes,Yes,None,2024-03-26,2025-02-04,Other,No
ACCT656978,Customer 247,2020-02-27,,2020-10-29,No,,None,2024-03-13,2023-06-06,Bank error,Yes
ACCT581001,Customer 248,2022-06-16,2020-05-09,2024-11-22,Yes,Yes,61 days,2020-05-20,2020-09-28,Overspending,No
ACCT254762,Customer 249,2021-10-24,2024-04-11,2020-06-04,No,,None,2022-07-23,2023-11-26,Medical emergency,Yes
ACCT175727,Customer 250,,2021-01-26,2020-11-22,No,,31 days,,2024-04-14,Other,No
ACCT949385,Customer 251,2023-09-19,2023-12-22,,No,,31 days,2024-11-12,2020-09-17,Bank error,Yes
ACCT121464,Customer 252,,2022-09-14,2020-09-22,No,,61 days,2023-05-09,2020-11-17,Unexpected expenses,No
ACCT729037,Customer 253,2021-12-30,2024-03-17,2024-02-10,No,,61 days,,2024-07-10,Overspending,No
ACCT143633,Customer 254,2023-01-30,,2022-05-16,No,,91+ days,2022-10-11,2023-01-13,Medical emergency,Yes
ACCT719431,Customer 255,2022-11-29,2023-02-06,2023-09-21,Yes,No,61 days,2021-05-04,2023-10-03,Late paycheck,No
ACCT135757,Customer 256,,2022-04-16,2024-08-07,Yes,Yes,91+ days,2022-05-13,2022-11-20,Unexpected expenses,Yes
ACCT171876,Customer 257,2021-09-29,2024-10-25,2025-02-16,No,,31 days,2023-07-15,,Unexpected expenses,No
ACCT259584,Customer 258,,2024-10-20,2020-02-02,Yes,Yes,91+ days,2022-07-18,2020-11-08,Medical emergency,Yes
ACCT137031,Customer 259,2024-10-10,2023-04-04,2021-12-16,Yes,Yes,61 days,,2021-08-21,Other,Yes
ACCT630954,Customer 260,,,2023-03-21,Yes,No,61 days,2023-08-13,2022-12-19,Unexpected expenses,No
ACCT738221,Customer 261,2022-09-17,2020-01-20,2023-05-11,No,,31 days,2021-02-26,,Unexpected expenses,Yes
ACCT339928,Customer 262,2021-04-21,2020-01-08,2022-01-30,No,,None,2023-06-16,2021-02-11,Other,Yes
ACCT695359,Customer 263,2023-05-02,,2023-04-13,No,,31 days,,2022-09-01,Bank error,Yes
ACCT839054,Customer 264,,2023-06-01,,No,,None,2022-10-23,2022-04-19,Bank error,No
ACCT955233,Customer 265,2020-07-17,2022-12-21,2022-11-15,Yes,Yes,61 days,2023-05-19,2024-03-22,Late paycheck,Yes
ACCT745768,Customer 266,,2022-02-28,2020-03-16,Yes,Yes,61 days,2022-10-30,2021-03-02,Other,Yes
ACCT386328,Customer 267,,2022-06-06,2024-07-25,No,,31 days,2022-08-21,2020-05-04,Divorce,Yes
ACCT290143,Customer 268,2025-02-15,2020-03-30,2022-04-11,Yes,Yes,61 days,2020-08-12,2020-03-03,Overspending,Yes
ACCT950794,Customer 269,2022-05-20,2024-08-12,2024-05-23,No,,None,2020-05-30,2021-06-05,Bank error,Yes
ACCT425512,Customer 270,2022-04-25,2024-11-29,,No,,31 days,,2024-11-11,Job loss,No
ACCT474007,Customer 271,2024-02-02,2020-08-30,2023-04-11,No,,31 days,2023-12-09,,Unexpected expenses,Yes
ACCT126466,Customer 272,2022-11-11,,2023-08-01,Yes,Yes,31 days,2022-01-08,2023-05-02,Divorce,Yes
ACCT567811,Customer 273,,2021-03-25,2024-04-21,Yes,Yes,91+ days,2022-09-03,,Other,No
ACCT343209,Customer 274,,2024-02-23,2024-07-05,No,,None,2022-07-11,2024-02-07,Job loss,No
ACCT155528,Customer 275,,2020-12-15,2020-03-16,Yes,No,91+ days,2022-03-09,2023-07-01,Bank error,Yes
ACCT694337,Customer 276,2023-11-29,2023-10-19,2021-03-10,Yes,Yes,31 days,2024-11-30,2021-06-26,Late paycheck,Yes
ACCT658596,Customer 277,2024-12-19,,2020-05-29,Yes,No,31 days,2021-01-19,,Bank error,Yes
ACCT751311,Customer 278,2024-03-15,2022-09-27,2023-11-12,No,,31 days,,2022-05-24,Other,No
ACCT620468,Customer 279,2020-03-09,,2021-03-14,Yes,Yes,91+ days,2024-09-30,2021-09-26,Job loss,Yes
ACCT677249,Customer 280,2024-01-19,2022-10-31,2020-02-13,Yes,Yes,None,2020-03-16,,Overspending,No
ACCT255226,Customer 281,2023-03-07,2023-11-30,,No,,31 days,2021-12-23,2021-05-24,Bank error,Yes
ACCT394105,Customer 282,2020-11-16,2021-03-29,2022-01-24,No,,31 days,2020-11-11,2020-12-28,Other,Yes
ACCT989163,Customer 283,,2024-01-11,2024-01-12,No,,31 days,2024-12-19,2022-04-27,Job loss,No
ACCT680182,Customer 284,2024-07-14,2020-06-30,2022-10-26,No,,91+ days,2020-03-11,2023-06-15,Divorce,Yes
ACCT481193,Customer 285,2023-01-01,2024-07-06,2024-05-24,No,,31 days,2022-04-10,2021-11-08,Medical emergency,Yes
ACCT471083,Customer 286,2023-07-17,2024-07-18,2021-06-15,No,,91+ days,,2023-08-10,Medical emergency,Yes
ACCT389325,Customer 287,2020-12-05,2020-04-25,2023-07-24,Yes,Yes,91+ days,,2020-04-23,Divorce,No
ACCT177983,Customer 288,2022-01-16,2024-05-05,2024-01-25,Yes,Yes,31 days,,2021-03-01,Overspending,Yes
ACCT999118,Customer 289,2024-02-28,2020-05-14,2022-09-12,No,,91+ days,2024-08-04,2021-04-01,Overspending,No
ACCT980092,Customer 290,2021-04-07,2023-01-25,2020-08-31,No,,91+ days,,2025-01-21,Divorce,No
ACCT314478,Customer 291,2020-04-17,,2024-06-29,Yes,No,31 days,2021-12-25,2020-02-04,Late paycheck,No
ACCT882271,Customer 292,2023-04-25,2020-11-10,2021-11-24,No,,91+ days,,2023-07-15,Late paycheck,Yes
ACCT311963,Customer 293,2021-07-12,,2023-12-06,No,,None,2024-02-29,2023-12-13,Divorce,No
ACCT382382,Customer 294,2023-06-16,2023-12-12,2020-05-31,Yes,Yes,91+ days,2020-04-04,2020-10-03,Unexpected expenses,Yes
ACCT156751,Customer 295,2020-08-06,,2024-06-26,No,,91+ days,,2024-09-11,Job loss,No
ACCT342351,Customer 296,2021-03-06,,2023-03-15,No,,61 days,2023-03-26,2023-02-22,Job loss,Yes
ACCT484346,Customer 297,2023-04-02,2020-11-16,2024-07-05,Yes,Yes,None,2024-10-20,2021-05-07,Other,Yes
ACCT980781,Customer 298,2022-02-06,,2022-01-24,Yes,Yes,None,,2021-02-18,Other,No
ACCT787818,Customer 299,2020-02-05,2024-06-11,2020-04-30,Yes,Yes,31 days,2023-08-07,,Late paycheck,No
ACCT329923,Customer 300,2023-08-24,,2022-05-17,Yes,No,61 days,2024-01-25,2024-03-25,Job loss,No
ACCT431308,Customer 301,2022-03-24,2023-06-30,2023-07-17,No,,91+ days,2020-07-12,2023-09-25,Late paycheck,Yes
ACCT963043,Customer 302,2023-02-09,,2021-06-08,Yes,No,61 days,,,Job loss,No
ACCT985917,Customer 303,2021-06-05,,2022-01-17,Yes,Yes,91+ days,2024-01-12,2024-12-05,Other,Yes
ACCT550727,Customer 304,2025-01-04,2021-04-15,2023-10-14,No,,31 days,2021-08-03,2022-11-02,Job loss,No
ACCT747096,Customer 305,2024-09-10,2020-09-21,2020-01-03,Yes,No,31 days,2020-07-31,2024-11-13,Job loss,Yes
ACCT642627,Customer 306,2021-04-10,2021-02-05,2023-05-19,Yes,Yes,None,2024-11-03,,Overspending,Yes
ACCT955010,Customer 307,2023-01-07,2024-08-09,2020-09-06,No,,91+ days,2020-11-22,2021-02-27,Medical emergency,Yes
ACCT876789,Customer 308,,2020-11-11,2023-12-13,Yes,No,61 days,2022-08-30,,Medical emergency,No
ACCT580073,Customer 309,2020-03-31,2021-01-27,2023-03-06,Yes,No,91+ days,2024-12-04,2024-08-28,Late paycheck,Yes
ACCT764036,Customer 310,,2023-11-09,2020-11-13,No,,91+ days,2022-07-03,2023-05-30,Bank error,Yes
ACCT547762,Customer 311,2020-04-13,2024-02-26,2022-10-31,Yes,Yes,91+ days,,2024-01-23,Late paycheck,No
ACCT875125,Customer 312,,2025-01-18,2020-11-05,No,,61 days,,,Late paycheck,Yes
ACCT431166,Customer 313,2020-07-17,,2024-10-09,Yes,Yes,61 days,2020-07-17,2023-01-25,Late paycheck,No
ACCT753655,Customer 314,2022-12-23,2023-04-04,2023-01-24,No,,None,2023-07-05,2022-08-12,Overspending,No
ACCT815525,Customer 315,,,2023-10-13,No,,31 days,2022-01-11,2023-05-31,Unexpected expenses,Yes
ACCT509223,Customer 316,2022-09-14,2021-04-28,2023-11-30,No,,None,2022-08-15,2023-11-14,Medical emergency,Yes
ACCT734579,Customer 317,2022-02-21,,2023-01-28,No,,61 days,2023-07-26,,Medical emergency,Yes
ACCT336324,Customer 318,2021-11-25,2021-01-25,2023-05-20,Yes,Yes,31 days,2023-12-20,2021-05-02,Overspending,No
ACCT288053,Customer 319,2020-12-27,2021-09-07,,No,,31 days,2024-06-18,2020-02-18,Bank error,No
ACCT874698,Customer 320,2020-05-08,,2021-07-16,Yes,No,61 days,,2022-12-31,Job loss,Yes
ACCT448535,Customer 321,2022-06-05,2024-10-03,2024-05-12,Yes,No,31 days,,2022-10-13,Divorce,No
ACCT134068,Customer 322,2021-12-03,2021-11-25,2024-12-25,Yes,Yes,31 days,2024-01-11,2025-01-01,Other,No
ACCT256715,Customer 323,2020-03-26,2020-06-28,,Yes,No,None,,2024-09-29,Overspending,Yes
ACCT731157,Customer 324,2024-08-01,2024-06-30,2023-05-13,Yes,No,31 days,2020-06-12,2023-07-12,Job loss,No
ACCT721476,Customer 325,2021-07-08,2025-01-20,2020-03-12,Yes,Yes,None,,2023-05-12,Bank error,Yes
ACCT338297,Customer 326,2024-09-15,,2020-02-27,Yes,No,91+ days,2023-04-19,2023-08-10,Late paycheck,No
ACCT846117,Customer 327,2022-02-27,2021-11-02,,No,,91+ days,2022-02-16,2021-09-30,Divorce,Yes
ACCT244459,Customer 328,2024-03-26,2022-01-13,,Yes,No,61 days,2022-11-24,,Other,No
ACCT378950,Customer 329,2024-08-11,2023-01-30,,Yes,No,None,2022-08-25,2023-12-14,Divorce,No
ACCT426850,Customer 330,2022-03-05,2021-10-25,,No,,31 days,2025-01-19,,Bank error,Yes
ACCT826988,Customer 331,2022-09-12,2022-12-16,2020-02-24,Yes,Yes,91+ days,2023-12-02,2021-03-02,Unexpected expenses,Yes
ACCT866878,Customer 332,2024-12-22,2021-09-22,2025-01-11,Yes,No,91+ days,,,Unexpected expenses,Yes
ACCT965663,Customer 333,2022-01-26,,2023-11-23,Yes,No,31 days,2024-07-19,2021-12-25,Bank error,No
ACCT655971,Customer 334,2020-04-18,2023-02-07,2020-07-11,No,,31 days,,2024-11-07,Job loss,No
ACCT261530,Customer 335,,2020-11-19,,No,,None,2024-05-03,2021-05-16,Bank error,Yes
ACCT854583,Customer 336,,2020-07-30,2024-05-20,No,,31 days,2023-07-13,2021-11-22,Late paycheck,Yes
ACCT521221,Customer 337,2024-08-18,2021-05-15,,No,,61 days,2022-03-26,2024-05-08,Divorce,Yes
ACCT945848,Customer 338,2023-02-03,2024-10-24,2022-03-19,No,,None,2021-10-27,2023-03-09,Divorce,No
ACCT318437,Customer 339,,2024-11-10,2020-10-16,Yes,Yes,31 days,2023-04-15,2020-03-17,Medical emergency,No
ACCT957851,Customer 340,,2023-01-29,2021-12-22,Yes,Yes,None,2020-03-24,2023-09-04,Bank error,No
ACCT651414,Customer 341,2024-07-02,2024-02-10,,Yes,No,None,2023-01-04,2022-07-01,Other,Yes
ACCT942396,Customer 342,2021-04-14,2024-06-09,2021-12-28,No,,31 days,2020-10-13,2023-01-04,Other,No
ACCT401695,Customer 343,2023-07-13,2023-05-02,2025-02-13,No,,None,2020-01-15,,Late paycheck,Yes
ACCT220309,Customer 344,,2025-01-03,2022-10-03,No,,None,2024-11-19,2020-06-16,Medical emergency,Yes
ACCT793587,Customer 345,2022-11-02,,2021-10-25,No,,61 days,2022-07-11,2024-11-03,Bank error,Yes
ACCT375482,Customer 346,2023-07-20,2020-08-19,2023-12-30,Yes,No,None,2024-12-05,2022-09-13,Unexpected expenses,No
ACCT270418,Customer 347,2021-04-29,2023-03-10,,Yes,No,None,,2024-05-11,Divorce,Yes
ACCT937580,Customer 348,2022-03-25,,2024-12-20,No,,31 days,2020-07-15,2024-02-04,Late paycheck,Yes
ACCT889158,Customer 349,2021-01-07,2021-05-05,2020-07-13,Yes,Yes,91+ days,2021-09-20,2021-02-18,Unexpected expenses,Yes
ACCT306102,Customer 350,2023-03-26,,,Yes,Yes,61 days,2020-01-12,2021-09-29,Other,Yes
ACCT736622,Customer 351,2022-03-25,2021-03-02,2020-01-30,No,,91+ days,2020-04-02,2023-09-05,Medical emergency,No
ACCT769416,Customer 352,2021-12-02,2020-02-29,2022-12-03,Yes,No,31 days,2020-05-07,2022-11-22,Bank error,No
ACCT854833,Customer 353,2022-03-26,2024-10-21,,Yes,No,61 days,2021-04-12,2021-05-13,Other,Yes
ACCT428289,Customer 354,2024-03-08,2024-03-29,2023-06-11,Yes,No,91+ days,2024-07-24,2023-10-28,Other,Yes
ACCT989368,Customer 355,2023-02-14,2023-05-16,,No,,None,2024-01-27,2024-07-06,Bank error,No
ACCT561268,Customer 356,,2022-11-29,2024-04-01,No,,61 days,2021-04-22,2024-05-04,Job loss,Yes
ACCT542859,Customer 357,2023-02-18,2023-10-04,2021-03-15,No,,31 days,2020-03-29,,Other,Yes
ACCT517466,Customer 358,2021-05-08,2020-04-30,2022-06-21,No,,61 days,2024-01-21,2021-11-07,Late paycheck,No
ACCT467064,Customer 359,2022-08-13,,2025-01-09,No,,61 days,2023-09-29,,Bank error,Yes
ACCT262593,Customer 360,2021-05-12,2020-04-24,2021-11-04,Yes,No,None,2024-05-07,2021-06-17,Bank error,Yes
ACCT298745,Customer 361,2022-07-10,2023-02-14,2022-12-08,Yes,No,None,2022-09-02,2024-11-16,Overspending,Yes
ACCT795733,Customer 362,,2020-11-12,,Yes,No,None,,2021-11-21,Unexpected expenses,Yes
ACCT664123,Customer 363,,2021-11-21,2020-05-15,Yes,Yes,None,2021-04-17,,Medical emergency,Yes
ACCT131303,Customer 364,2023-06-29,2022-10-23,2020-06-17,No,,None,2022-08-20,2021-03-31,Job loss,Yes
ACCT714804,Customer 365,2020-10-10,2020-09-24,2024-10-25,Yes,No,91+ days,,2022-07-09,Other,Yes
ACCT454256,Customer 366,2023-05-20,2020-04-24,,Yes,Yes,91+ days,2024-12-18,,Divorce,Yes
ACCT184910,Customer 367,2020-10-20,2020-01-28,,Yes,Yes,91+ days,2024-12-29,2024-04-04,Bank error,No
ACCT754179,Customer 368,,2021-06-15,2024-12-14,No,,None,2023-12-11,2020-08-24,Medical emergency,No
ACCT369188,Customer 369,2020-04-20,2021-06-09,2022-06-01,No,,31 days,2020-02-11,,Overspending,No
ACCT324659,Customer 370,,2020-11-02,2023-07-28,Yes,Yes,61 days,2025-02-03,2021-11-07,Overspending,Yes
ACCT921825,Customer 371,2024-04-10,,2020-01-22,Yes,No,None,2022-11-16,2021-05-23,Divorce,Yes
ACCT499852,Customer 372,2023-02-20,2021-09-17,2023-02-19,Yes,No,61 days,2022-12-22,2022-09-03,Overspending,No
ACCT996788,Customer 373,2023-04-20,2021-02-18,2024-02-10,No,,31 days,2021-04-07,2021-09-03,Overspending,No
ACCT783386,Customer 374,2021-10-22,2023-08-22,2023-04-13,Yes,Yes,91+ days,2025-02-23,2023-09-03,Overspending,No
ACCT764610,Customer 375,2020-05-27,2024-01-09,2021-06-20,No,,None,2020-07-27,,Overspending,Yes
ACCT902143,Customer 376,2021-12-07,2022-04-24,2023-07-16,No,,91+ days,2020-11-21,2023-06-29,Overspending,No
ACCT136656,Customer 377,2021-08-18,2024-03-13,2020-07-24,No,,31 days,2023-09-23,,Medical emergency,No
ACCT695380,Customer 378,2024-04-10,,2021-02-12,No,,None,2021-08-31,2020-01-11,Overspending,Yes
ACCT909741,Customer 379,,2020-04-01,,No,,31 days,2024-02-19,2021-06-05,Bank error,Yes
ACCT445996,Customer 380,2021-06-15,2023-08-18,2020-11-30,Yes,Yes,61 days,2023-11-11,2021-10-15,Medical emergency,No
ACCT651341,Customer 381,,2023-02-22,2020-09-24,Yes,Yes,91+ days,2024-10-23,2021-04-14,Other,No
ACCT191999,Customer 382,,2022-03-06,2023-04-12,Yes,Yes,31 days,,2022-08-05,Job loss,No
ACCT711286,Customer 383,,2021-11-07,2020-02-02,Yes,No,None,,,Overspending,Yes
ACCT416577,Customer 384,2020-03-08,2021-10-29,2021-04-29,Yes,Yes,31 days,2020-06-02,,Divorce,No
ACCT254638,Customer 385,,2021-02-12,2020-02-20,Yes,Yes,None,,2022-04-04,Bank error,No
ACCT355514,Customer 386,,2022-01-13,2024-09-14,Yes,Yes,61 days,2020-12-15,2024-12-15,Job loss,Yes
ACCT198944,Customer 387,2024-12-21,2021-10-27,2024-04-08,No,,31 days,2022-05-01,2023-03-14,Medical emergency,No
ACCT825478,Customer 388,2021-10-14,2020-01-25,2020-01-09,No,,31 days,,2020-08-07,Overspending,Yes
ACCT269177,Customer 389,2021-02-12,2021-10-20,,No,,91+ days,2023-05-31,2024-01-21,Unexpected expenses,No
ACCT407491,Customer 390,2021-12-27,2022-09-05,2021-03-18,No,,91+ days,2024-07-10,2022-10-13,Late paycheck,Yes
ACCT784163,Customer 391,2021-12-03,2021-04-27,2022-12-20,No,,61 days,2020-04-26,,Medical emergency,Yes
ACCT730345,Customer 392,2023-01-27,2020-06-08,2024-11-03,Yes,No,91+ days,2025-01-12,2023-12-08,Divorce,No
ACCT717211,Customer 393,2021-11-29,,2022-12-02,Yes,Yes,61 days,2024-11-21,2025-01-23,Divorce,No
ACCT442853,Customer 394,,2021-02-15,2024-04-29,No,,31 days,2024-07-17,2023-08-13,Other,No
ACCT962130,Customer 395,2024-11-27,2024-09-20,2023-09-12,Yes,Yes,31 days,2022-04-05,2023-01-06,Unexpected expenses,Yes
ACCT362713,Customer 396,,,2024-12-08,Yes,Yes,None,2021-10-03,2022-10-05,Unexpected expenses,No
ACCT973642,Customer 397,2024-09-21,2022-08-26,2023-05-05,Yes,No,31 days,2023-02-08,2024-05-19,Other,Yes
ACCT633040,Customer 398,2021-06-07,2021-05-30,2023-05-01,No,,91+ days,2024-07-07,2020-03-22,Medical emergency,Yes
ACCT418795,Customer 399,2023-01-03,,2021-04-28,No,,91+ days,2023-09-05,2022-03-11,Unexpected expenses,No
ACCT864928,Customer 400,2023-07-14,2022-09-19,2023-07-27,No,,None,2024-05-16,,Medical emergency,Yes
ACCT872577,Customer 401,2020-02-12,2020-03-06,2023-02-11,Yes,Yes,91+ days,2021-10-16,2025-02-08,Unexpected expenses,No
ACCT259067,Customer 402,2023-05-28,2020-06-18,,Yes,Yes,31 days,2025-02-08,2023-03-08,Other,No
ACCT142260,Customer 403,2020-12-14,,2021-08-09,No,,31 days,2020-05-08,,Medical emergency,Yes
ACCT372525,Customer 404,2025-02-12,2020-01-21,2021-03-03,No,,61 days,,2020-01-20,Other,Yes
ACCT900827,Customer 405,2021-08-19,2022-01-23,2021-05-14,Yes,Yes,61 days,2024-02-17,2020-12-24,Medical emergency,Yes
ACCT721991,Customer 406,2025-02-15,,2021-07-14,Yes,Yes,61 days,,,Late paycheck,No
ACCT985831,Customer 407,,2021-11-30,2024-03-03,Yes,No,None,2020-12-11,2022-06-08,Medical emergency,Yes
ACCT428594,Customer 408,2022-12-22,2024-05-08,,Yes,Yes,31 days,,2020-12-08,Late paycheck,No
ACCT812881,Customer 409,2022-10-15,2023-12-24,2020-04-19,No,,31 days,2022-01-22,2022-02-13,Bank error,No
ACCT248187,Customer 410,,2020-08-15,2022-12-26,Yes,No,61 days,2021-08-23,2021-01-30,Late paycheck,No
ACCT545703,Customer 411,2020-08-15,2022-05-04,2023-02-05,No,,None,,2023-05-06,Medical emergency,Yes
ACCT131886,Customer 412,2022-03-02,2021-03-16,2022-12-29,Yes,Yes,None,2021-04-20,2022-09-16,Divorce,Yes
ACCT502279,Customer 413,2020-07-20,,2024-11-12,No,,None,2023-03-25,2024-08-14,Job loss,Yes
ACCT375377,Customer 414,,,2020-11-22,No,,61 days,2022-07-23,2024-01-19,Unexpected expenses,No
ACCT535938,Customer 415,,2020-05-26,2022-08-15,No,,None,2020-07-02,2024-08-02,Bank error,Yes
ACCT708529,Customer 416,2020-07-31,2024-07-06,,No,,31 days,2021-01-16,2024-08-12,Other,Yes
ACCT403757,Customer 417,2020-08-23,2020-04-21,,No,,None,2020-10-07,2022-02-10,Job loss,Yes
ACCT590692,Customer 418,2022-08-20,2024-03-15,,Yes,Yes,61 days,,2025-02-12,Overspending,No
ACCT484672,Customer 419,2023-12-08,2024-08-29,2020-01-24,Yes,No,91+ days,2024-11-09,2022-05-16,Divorce,No
ACCT711805,Customer 420,2020-03-14,2024-02-01,2024-12-27,Yes,Yes,91+ days,2021-08-05,2024-05-17,Job loss,No
ACCT644263,Customer 421,2021-01-27,2024-03-21,,Yes,Yes,31 days,,2023-11-16,Job loss,Yes
ACCT488363,Customer 422,2023-06-02,2021-02-13,2020-07-28,Yes,No,None,2020-01-08,2024-07-15,Job loss,No
ACCT936358,Customer 423,2020-08-24,2020-02-02,2020-06-27,No,,None,,2022-12-14,Medical emergency,No
ACCT736618,Customer 424,,2021-10-24,2020-11-04,No,,91+ days,2020-12-26,2022-02-03,Job loss,Yes
ACCT495814,Customer 425,2024-06-10,2020-05-23,2020-11-03,Yes,No,61 days,2021-03-11,2024-08-09,Job loss,Yes
ACCT722588,Customer 426,2022-01-25,2021-02-21,,No,,91+ days,2020-11-02,2025-01-11,Overspending,No
ACCT718639,Customer 427,2022-08-13,,2022-04-29,Yes,Yes,31 days,2020-06-08,2020-08-30,Medical emergency,Yes
ACCT362321,Customer 428,,2022-10-12,2023-09-06,Yes,No,None,2020-11-16,,Other,Yes
ACCT402893,Customer 429,2024-07-27,2020-07-21,,No,,None,,2022-09-03,Divorce,No
ACCT434780,Customer 430,,2020-04-08,2020-07-13,No,,None,2021-12-14,2020-02-12,Divorce,Yes
ACCT183518,Customer 431,,,,Yes,Yes,61 days,2024-11-03,2024-07-27,Divorce,No
ACCT791157,Customer 432,,2021-01-30,,No,,None,2020-07-22,2024-05-30,Overspending,Yes
ACCT359819,Customer 433,2024-07-13,2021-03-12,2022-09-21,Yes,Yes,None,2023-09-07,2021-01-20,Divorce,Yes
ACCT124823,Customer 434,2024-05-16,2025-01-25,2021-11-21,No,,61 days,2020-09-18,2022-11-12,Job loss,Yes
ACCT609730,Customer 435,2023-02-26,2020-02-10,2022-09-30,No,,None,2020-10-04,2021-04-10,Late paycheck,Yes
ACCT425698,Customer 436,2024-04-18,2024-11-25,2023-12-21,Yes,No,None,2021-08-12,,Overspending,No
ACCT963733,Customer 437,2024-11-10,2021-12-05,2021-05-30,No,,91+ days,2021-10-09,,Other,Yes
ACCT744872,Customer 438,2024-03-11,,2023-03-06,No,,91+ days,2021-07-02,,Medical emergency,No
ACCT177349,Customer 439,2020-05-26,2020-02-05,2022-02-21,Yes,Yes,31 days,2021-03-10,,Job loss,No
ACCT593377,Customer 440,2024-06-29,,2020-10-28,Yes,No,91+ days,2020-12-14,2021-12-01,Bank error,No
ACCT478341,Customer 441,,2022-03-31,2024-07-25,Yes,Yes,61 days,2021-03-19,2022-07-18,Medical emergency,No
ACCT331828,Customer 442,2022-10-02,,2021-06-07,No,,None,2024-03-24,2021-10-02,Bank error,Yes
ACCT864356,Customer 443,,2025-01-30,2025-01-05,No,,91+ days,2022-10-09,,Late paycheck,Yes
ACCT400924,Customer 444,2023-04-13,2022-01-29,2022-12-28,Yes,Yes,61 days,,2022-09-23,Bank error,No
ACCT195650,Customer 445,2023-07-30,,,Yes,Yes,None,,2022-05-29,Medical emergency,No
ACCT362874,Customer 446,2021-08-03,2021-06-17,2023-12-20,Yes,No,91+ days,2023-01-01,2021-01-07,Medical emergency,No
ACCT954421,Customer 447,,2024-04-19,,Yes,Yes,61 days,2023-02-22,2022-10-22,Unexpected expenses,No
ACCT310153,Customer 448,2024-05-25,2020-05-07,2024-01-18,No,,31 days,2022-03-01,,Other,No
ACCT500400,Customer 449,2024-08-09,2021-06-30,2022-08-29,Yes,No,91+ days,2020-08-12,2020-01-19,Unexpected expenses,No
ACCT463032,Customer 450,,2020-04-19,2020-07-09,No,,None,2020-07-06,2021-05-06,Other,No
ACCT269926,Customer 451,2020-04-02,2022-05-19,,Yes,Yes,None,2022-02-04,2020-03-20,Divorce,No
ACCT290049,Customer 452,2021-11-14,,2022-10-31,Yes,No,91+ days,,2020-05-28,Other,No
ACCT306560,Customer 453,2020-02-22,,2020-01-04,No,,91+ days,2024-10-09,2025-01-04,Job loss,Yes
ACCT105197,Customer 454,2023-10-17,2021-12-01,2020-12-02,No,,91+ days,2022-09-22,2021-01-08,Overspending,Yes
ACCT856046,Customer 455,2024-07-14,2021-07-07,2021-10-23,No,,91+ days,,2024-02-08,Unexpected expenses,Yes
ACCT778175,Customer 456,2020-11-17,2025-01-11,2022-04-11,No,,91+ days,,,Overspending,Yes
ACCT228788,Customer 457,2020-11-20,,2021-01-03,Yes,Yes,61 days,2020-02-26,,Job loss,No
ACCT656220,Customer 458,,2022-02-12,2023-04-06,No,,31 days,2021-03-28,,Medical emergency,Yes
ACCT780871,Customer 459,2025-02-18,2021-07-03,2020-07-24,No,,61 days,2020-02-27,2023-07-25,Unexpected expenses,Yes
ACCT634568,Customer 460,2023-01-08,2022-12-22,2020-10-18,Yes,No,61 days,2023-01-21,2021-09-10,Job loss,No
ACCT400275,Customer 461,2021-01-21,2023-09-18,,Yes,Yes,91+ days,2020-02-12,2024-02-12,Divorce,No
ACCT187443,Customer 462,2021-11-05,2025-01-22,2024-12-16,No,,None,2021-01-17,,Medical emergency,Yes
ACCT215004,Customer 463,2023-10-04,,2024-09-12,Yes,No,61 days,2023-03-13,2022-01-11,Other,No
ACCT314888,Customer 464,2023-04-03,2023-05-09,2023-02-15,Yes,Yes,None,2020-10-02,2022-04-28,Unexpected expenses,Yes
